27899*2^250556-1 is not prime.  LLR Res64: A17EC8CFE68C8DF1  Time : 61.674 sec.
18869*2^250560-1 is not prime.  LLR Res64: 83BAD3CC753C85C4  Time : 61.481 sec.
17977*2^250561-1 is not prime.  LLR Res64: C6BE4B53F9CFA6D3  Time : 61.361 sec.
17021*2^250562-1 is not prime.  LLR Res64: C7C8A684FDA868B5  Time : 61.473 sec.
25747*2^250565-1 is not prime.  LLR Res64: 4B72D99B39BC37B4  Time : 61.357 sec.
17411*2^250566-1 is not prime.  LLR Res64: 480064663D432055  Time : 61.685 sec.
31109*2^250568-1 is not prime.  LLR Res64: E63DF0D59A49BB2A  Time : 61.425 sec.
18727*2^250569-1 is not prime.  LLR Res64: A8D6FEE3C4D52177  Time : 61.524 sec.
19507*2^250569-1 is not prime.  LLR Res64: 7C06953E1A68CE90  Time : 61.524 sec.
34297*2^250569-1 is not prime.  LLR Res64: EC51E36C2F00F527  Time : 61.651 sec.
19121*2^250574-1 is not prime.  LLR Res64: 515C5245BD588A93  Time : 61.509 sec.
24221*2^250574-1 is not prime.  LLR Res64: E734B2ECA22F8785  Time : 61.649 sec.
22453*2^250575-1 is not prime.  LLR Res64: 624D3F8C6FDEF8B1  Time : 61.604 sec.
20651*2^250582-1 is not prime.  LLR Res64: 6C4C4E26910C2B3D  Time : 61.399 sec.
20939*2^250584-1 is not prime.  LLR Res64: CC83665E92E16071  Time : 61.483 sec.
33373*2^250587-1 is not prime.  LLR Res64: 0F7651CDC83D3A34  Time : 61.401 sec.
32789*2^250588-1 is not prime.  LLR Res64: B2AF05C27C556ECC  Time : 61.406 sec.
