15645*2^840066-1 is not prime.  LLR Res64: 1208335D3C6B07A0  Time : 477.418 sec.
16887*2^840066-1 is not prime.  LLR Res64: 9BAA48E8BABA70AD  Time : 483.898 sec.
21285*2^840066-1 is not prime.  LLR Res64: D376119E82C99F95  Time : 464.186 sec.
22785*2^840066-1 is not prime.  LLR Res64: 8DB32C91B0804785  Time : 442.137 sec.
13845*2^840067-1 is not prime.  LLR Res64: BCED34B0BBB34183  Time : 464.720 sec.
17295*2^840067-1 is not prime.  LLR Res64: A68069FE7DAAC8B6  Time : 462.732 sec.
27615*2^840067-1 is not prime.  LLR Res64: 3DBBF010B3CE8577  Time : 455.218 sec.
28215*2^840067-1 is not prime.  LLR Res64: F7AA571DB0EDBD81  Time : 454.955 sec.
29445*2^840067-1 is not prime.  LLR Res64: CD2055F1C66AD7DC  Time : 454.227 sec.
13845*2^840068-1 is not prime.  LLR Res64: 7B0A9073BD0B256F  Time : 442.531 sec.
14895*2^840068-1 is not prime.  LLR Res64: C6CDDEDB60AC5274  Time : 442.054 sec.
23985*2^840068-1 is not prime.  LLR Res64: E9B70438853352F5  Time : 457.842 sec.
26829*2^840068-1 is not prime.  LLR Res64: 33D23C194B1C27C7  Time : 455.117 sec.
29445*2^840068-1 is not prime.  LLR Res64: EF6D83E1B22C7359  Time : 455.492 sec.
20625*2^840069-1 is not prime.  LLR Res64: D3C83C4E2C64E207  Time : 440.700 sec.
27615*2^840069-1 is not prime.  LLR Res64: 55AA74DFE59CF65C  Time : 455.475 sec.
17295*2^840070-1 is not prime.  LLR Res64: 5CA603A036E2B4FE  Time : 440.405 sec.
27615*2^840070-1 is not prime.  LLR Res64: 1800CFEF3CA0C6DA  Time : 454.827 sec.
29925*2^840070-1 is not prime.  LLR Res64: 0775E530EFE99764  Time : 556.784 sec.
22095*2^840071-1 is not prime.  LLR Res64: 378D79B5FF624839  Time : 455.520 sec.
22785*2^840071-1 is not prime.  LLR Res64: 9FBC0266964841D7  Time : 439.868 sec.
28665*2^840071-1 is not prime.  LLR Res64: 2104CEFFB1C7688E  Time : 468.647 sec.
