20625*2^10077-1 is not prime.  LLR Res64: 59215AA4158B8387  Time : 142.155 ms.
27615*2^10078-1 is not prime.  LLR Res64: 64FF80CCE4D5D661  Time : 137.386 ms.
22785*2^10079-1 is not prime.  LLR Res64: DE26690F8FCB8DCF  Time : 139.744 ms.
23295*2^10079-1 is not prime.  LLR Res64: EBDCB38EFCE0A289  Time : 122.884 ms.
29445*2^10079-1 is not prime.  LLR Res64: 1C19606D2CB9132B  Time : 123.313 ms.
20625*2^10080-1 is not prime.  LLR Res64: 08697E1CDF7303D3  Time : 134.747 ms.
22095*2^10080-1 is not prime.  LLR Res64: 14ED852B232FFE9D  Time : 144.576 ms.
25077*2^10080-1 is not prime.  LLR Res64: C84DB87352520AE6  Time : 139.742 ms.
28665*2^10080-1 is not prime.  LLR Res64: FE9F52247D776AB6  Time : 142.053 ms.
16665*2^10081-1 is not prime.  LLR Res64: 047AB1BB60451E7F  Time : 138.506 ms.
23985*2^10081-1 is not prime.  LLR Res64: 5F935F8F7D7E2614  Time : 141.660 ms.
25905*2^10081-1 is not prime.  LLR Res64: 84166953310A118C  Time : 137.946 ms.
27615*2^10081-1 is not prime.  LLR Res64: D8BC23F989D9A097  Time : 130.227 ms.
21885*2^10082-1 is not prime.  LLR Res64: 483946862AF9A73D  Time : 124.421 ms.
22095*2^10082-1 is not prime.  LLR Res64: 0ADBF1F2738FC380  Time : 123.363 ms.
28635*2^10082-1 is not prime.  LLR Res64: 6FE89A030E8B464F  Time : 127.237 ms.
29445*2^10082-1 is not prime.  LLR Res64: 5CE93662E1130A35  Time : 143.596 ms.
20145*2^10083-1 is not prime.  LLR Res64: D486678B969283CF  Time : 124.607 ms.
26829*2^10083-1 is not prime.  LLR Res64: 9165183CC96CF2C4  Time : 132.573 ms.
19635*2^10084-1 is not prime.  LLR Res64: A89EEC227B987EB9  Time : 147.571 ms.
21825*2^10084-1 is not prime.  LLR Res64: FDDD8C4AA7A6EB15  Time : 150.261 ms.
25077*2^10084-1 is not prime.  LLR Res64: 17122FAAE237F606  Time : 144.871 ms.
28215*2^10084-1 is not prime.  LLR Res64: F60698DDAC898A33  Time : 139.093 ms.
