16485*2^676040-1 is not prime.  LLR Res64: 865CE23194FC750D  Time : 285.308 sec.
16887*2^676040-1 is not prime.  LLR Res64: F42F9FBA8409B01C  Time : 293.542 sec.
26829*2^676040-1 is not prime.  LLR Res64: 60F0362369A49311  Time : 364.365 sec.
16485*2^676041-1 is not prime.  LLR Res64: DFE50F941AB933FF  Time : 309.771 sec.
20625*2^676041-1 is not prime.  LLR Res64: 2DD67310FE7598C0  Time : 361.187 sec.
21525*2^676041-1 is not prime.  LLR Res64: 3DE31D00A16C856F  Time : 356.496 sec.
25077*2^676041-1 is not prime.  LLR Res64: F16CE11B102BAAE8  Time : 334.691 sec.
28215*2^676041-1 is not prime.  LLR Res64: 3AB4C3F9080D9944  Time : 334.054 sec.
21885*2^676042-1 is not prime.  LLR Res64: 588A1B73AF4028CD  Time : 338.173 sec.
23805*2^676042-1 is not prime.  LLR Res64: 31DCF9C435DF92BE  Time : 361.558 sec.
11961*2^676043-1 is not prime.  LLR Res64: 48F37FF31AA0BB01  Time : 298.057 sec.
18975*2^676043-1 is not prime.  LLR Res64: EB3BA75F795B698C  Time : 319.205 sec.
21285*2^676043-1 is not prime.  LLR Res64: F48199E8F4179027  Time : 376.443 sec.
23295*2^676043-1 is not prime.  LLR Res64: B50066491BB2968C  Time : 375.319 sec.
11655*2^676044-1 is not prime.  LLR Res64: 986BE23B5A5376D4  Time : 307.850 sec.
15645*2^676044-1 is not prime.  LLR Res64: 6D2C2709C96C495E  Time : 306.986 sec.
28635*2^676044-1 is not prime.  LLR Res64: 6BE732998848183D  Time : 368.158 sec.
28665*2^676044-1 is not prime.  LLR Res64: 6263EFA4412E5250  Time : 360.917 sec.
29685*2^676044-1 is not prime.  LLR Res64: AFD94E6962DB04EF  Time : 368.953 sec.
25905*2^676045-1 is not prime.  LLR Res64: 41C30BA23817A590  Time : 375.147 sec.
29025*2^676045-1 is not prime.  LLR Res64: FDABE4FF8546F81A  Time : 371.545 sec.
29445*2^676045-1 is not prime.  LLR Res64: 51E34C94444B6AEB  Time : 346.104 sec.
18525*2^676047-1 is not prime.  LLR Res64: 2583783BDF5BD697  Time : 287.172 sec.
20625*2^676047-1 is not prime.  LLR Res64: 547BC97A452AF33D  Time : 446.969 sec.
23985*2^676047-1 is not prime.  LLR Res64: FDCD087174A25082  Time : 361.821 sec.
29445*2^676047-1 is not prime.  LLR Res64: C378F2FB80A9B7F5  Time : 359.975 sec.
16665*2^676048-1 is not prime.  LLR Res64: E6D5A1FB150DD5F3  Time : 308.889 sec.
21825*2^676048-1 is not prime.  LLR Res64: EF4CC8F3A8C9C9C7  Time : 364.278 sec.
16665*2^676049-1 is not prime.  LLR Res64: 5599D03074F28A15  Time : 287.184 sec.
18525*2^676049-1 is not prime.  LLR Res64: 4C4FFCCEF9853907  Time : 286.657 sec.
22701*2^676049-1 is not prime.  LLR Res64: 7B825DA597A1EC75  Time : 335.662 sec.
28215*2^676049-1 is not prime.  LLR Res64: AFCDA393D16ACAD0  Time : 334.861 sec.
29445*2^676049-1 is not prime.  LLR Res64: A75084E83ED636EF  Time : 336.839 sec.
19635*2^676050-1 is not prime.  LLR Res64: 72D839CB33A4DA11  Time : 336.602 sec.
20145*2^676050-1 is not prime.  LLR Res64: FD1A68C2D7979A94  Time : 345.836 sec.
21285*2^676050-1 is not prime.  LLR Res64: 946D1EEAC82B2B8A  Time : 364.331 sec.
28635*2^676050-1 is not prime.  LLR Res64: 105040E7DBC8F4A1  Time : 358.507 sec.
29025*2^676050-1 is not prime.  LLR Res64: EFE7D4908F2DE659  Time : 334.376 sec.
19635*2^676051-1 is not prime.  LLR Res64: 8AE453B2E1C7B6AF  Time : 334.684 sec.
21285*2^676051-1 is not prime.  LLR Res64: 97F4621B6CA53868  Time : 334.786 sec.
23805*2^676051-1 is not prime.  LLR Res64: 01C4D29CA098C551  Time : 334.828 sec.
29025*2^676051-1 is not prime.  LLR Res64: 3ECDF4D65727E60F  Time : 334.766 sec.
12753*2^676052-1 is not prime.  LLR Res64: 9E50DBCA3F4E38F0  Time : 278.693 sec.
14895*2^676052-1 is not prime.  LLR Res64: 829FAA58E706F40C  Time : 278.568 sec.
16665*2^676052-1 is not prime.  LLR Res64: 12FA507AF4B7AC57  Time : 287.653 sec.
19635*2^676052-1 is not prime.  LLR Res64: D51B58C40F9C9C59  Time : 361.792 sec.
23295*2^676052-1 is not prime.  LLR Res64: CA3266D30CD8EE17  Time : 381.243 sec.
28215*2^676052-1 is not prime.  LLR Res64: A0E8D0A6B4F512F8  Time : 365.507 sec.
28605*2^676052-1 is not prime.  LLR Res64: 9CD9CC2996571110  Time : 364.442 sec.
28665*2^676052-1 is not prime.  LLR Res64: 6B3E6CE30C7BA35A  Time : 361.261 sec.
11655*2^676053-1 is not prime.  LLR Res64: 277DB8383C6103FF  Time : 284.195 sec.
16887*2^676053-1 is not prime.  LLR Res64: E33A920105C49C42  Time : 287.405 sec.
19635*2^676053-1 is not prime.  LLR Res64: E43D5006746AE182  Time : 334.567 sec.
20625*2^676053-1 is not prime.  LLR Res64: C3F1D51358F5955B  Time : 346.195 sec.
21285*2^676053-1 is not prime.  LLR Res64: 442DDA67C21A3484  Time : 359.574 sec.
21825*2^676053-1 is not prime.  LLR Res64: 6272C393A74CD163  Time : 451.906 sec.
22365*2^676053-1 is not prime.  LLR Res64: CF7B6DEDE56BD0C3  Time : 392.111 sec.
23985*2^676053-1 is not prime.  LLR Res64: CA66EDA25464D496  Time : 385.867 sec.
28605*2^676053-1 is not prime.  LLR Res64: E409ADF5813D9A47  Time : 395.367 sec.
29445*2^676053-1 is not prime.  LLR Res64: 5172A3A62FA629A9  Time : 375.916 sec.
13845*2^676054-1 is not prime.  LLR Res64: 61E958A8F0AF4709  Time : 323.495 sec.
16485*2^676054-1 is not prime.  LLR Res64: A7A5AEC6477C4869  Time : 308.040 sec.
21885*2^676054-1 is not prime.  LLR Res64: F5AA8BFF3C7ACC76  Time : 366.918 sec.
28605*2^676054-1 is not prime.  LLR Res64: 455ABCC9AE3A2DEA  Time : 380.099 sec.
16665*2^676055-1 is not prime.  LLR Res64: A5BE6B6915BF7590  Time : 327.096 sec.
23985*2^676055-1 is not prime.  LLR Res64: F0FFE543A4E306BE  Time : 382.597 sec.
27615*2^676055-1 is not prime.  LLR Res64: 889E631008BE0087  Time : 363.934 sec.
29025*2^676055-1 is not prime.  LLR Res64: ED683AD8F3729250  Time : 367.535 sec.
29685*2^676055-1 is not prime.  LLR Res64: 8EE92A34B787525B  Time : 363.357 sec.
12753*2^676056-1 is not prime.  LLR Res64: FC81E78CBBB915E7  Time : 302.145 sec.
17295*2^676056-1 is not prime.  LLR Res64: A36058465F6B1C9B  Time : 314.152 sec.
22095*2^676056-1 is not prime.  LLR Res64: 2D655BA15C2B5389  Time : 398.381 sec.
22785*2^676056-1 is not prime.  LLR Res64: BBA9BA207B2DAF58  Time : 435.233 sec.
28215*2^676056-1 is not prime.  LLR Res64: 0F4230CA2E027AD5  Time : 369.474 sec.
15645*2^676057-1 is not prime.  LLR Res64: 26EE46ED14CBC8B7  Time : 348.275 sec.
