18525*2^20035-1 is not prime.  LLR Res64: 7D45DCB64BCCBFBD  Time : 378.602 ms.
22701*2^20035-1 is not prime.  LLR Res64: 6DEB71AD3FF779E3  Time : 399.105 ms.
29925*2^20035-1 is not prime.  LLR Res64: 9DFF584F7DE1B84B  Time : 393.949 ms.
16485*2^20036-1 is not prime.  LLR Res64: 1508DD23020CC772  Time : 381.873 ms.
18975*2^20036-1 is not prime.  LLR Res64: 0976304977B157A0  Time : 386.033 ms.
22365*2^20036-1 is not prime.  LLR Res64: E722AB57A440A2BE  Time : 388.420 ms.
22785*2^20036-1 is not prime.  LLR Res64: 40F97C7B3FBCBDED  Time : 387.115 ms.
23295*2^20036-1 is not prime.  LLR Res64: 61F1AF3CCDFD0840  Time : 388.970 ms.
23805*2^20036-1 is not prime.  LLR Res64: E63A4F0E08B1C883  Time : 385.918 ms.
29445*2^20036-1 is not prime.  LLR Res64: 165F3B1BEF069EDE  Time : 379.294 ms.
20625*2^20037-1 is not prime.  LLR Res64: 33A2EA3352256F69  Time : 387.627 ms.
22785*2^20037-1 is not prime.  LLR Res64: 029D7FC29B904B56  Time : 370.669 ms.
16485*2^20038-1 is not prime.  LLR Res64: DDF6D2682F3A01D3  Time : 373.263 ms.
16665*2^20038-1 is not prime.  LLR Res64: B42F08027124F772  Time : 391.196 ms.
23295*2^20038-1 is not prime.  LLR Res64: FB7E7493E4810CC9  Time : 385.464 ms.
29025*2^20038-1 is not prime.  LLR Res64: 7D1146F4C08C8375  Time : 390.096 ms.
17295*2^20039-1 is not prime.  LLR Res64: 450FFDAC76B8C533  Time : 391.868 ms.
18975*2^20039-1 is not prime.  LLR Res64: DE3A8E20BF7C8C0D  Time : 388.329 ms.
26829*2^20039-1 is not prime.  LLR Res64: 13496174A60D9186  Time : 442.647 ms.
29925*2^20039-1 is not prime.  LLR Res64: 47E2A3F85E457821  Time : 397.686 ms.
15645*2^20040-1 is not prime.  LLR Res64: AA46FCAE3CB02174  Time : 397.012 ms.
16665*2^20040-1 is not prime.  LLR Res64: D78E0C86FE300C93  Time : 403.939 ms.
20625*2^20040-1 is not prime.  LLR Res64: CAA921AE542FB1A3  Time : 389.914 ms.
21525*2^20040-1 is not prime.  LLR Res64: 9CAD3BE3E1439DEF  Time : 389.259 ms.
23295*2^20041-1 is not prime.  LLR Res64: 70D4DB323851C3E7  Time : 387.961 ms.
28665*2^20041-1 is not prime.  LLR Res64: D6D50E7596B99829  Time : 385.939 ms.
18975*2^20042-1 is not prime.  LLR Res64: DC1D414270F56392  Time : 386.564 ms.
29445*2^20042-1 is not prime.  LLR Res64: 51AEB4D6E9F8E4BB  Time : 388.420 ms.
16665*2^20043-1 is not prime.  LLR Res64: 8EF742B92E75293B  Time : 387.184 ms.
17295*2^20044-1 is not prime.  LLR Res64: C62EEF16EEF03681  Time : 386.998 ms.
23295*2^20044-1 is not prime.  LLR Res64: C168ACAAC2CF3B71  Time : 404.078 ms.
21285*2^20045-1 is not prime.  LLR Res64: 16D9B226F43DF7F8  Time : 395.951 ms.
29925*2^20045-1 is not prime.  LLR Res64: FEB7AFAB55DABFA7  Time : 396.797 ms.
15645*2^20046-1 is not prime.  LLR Res64: 1EF019EE6F388918  Time : 404.353 ms.
16887*2^20046-1 is not prime.  LLR Res64: 42BE00057EAFF079  Time : 386.703 ms.
21525*2^20046-1 is not prime.  LLR Res64: 90AC8EDEB7DE60B6  Time : 389.991 ms.
