29025*2^40041-1 is not prime.  LLR Res64: DE410898BE913848  Time : 1.465 sec.
18525*2^40042-1 is not prime.  LLR Res64: DB0E219A64E3DC57  Time : 1.466 sec.
21825*2^40042-1 is not prime.  LLR Res64: 3FF53788AC719C93  Time : 1.465 sec.
22785*2^40042-1 is not prime.  LLR Res64: 51DA7095A23327FB  Time : 1.471 sec.
23985*2^40042-1 is not prime.  LLR Res64: 9779AB50BD0D55B7  Time : 1.470 sec.
28665*2^40042-1 is not prime.  LLR Res64: 1B9BFBED192D4338  Time : 1.474 sec.
29685*2^40042-1 is not prime.  LLR Res64: B0419256101D23F0  Time : 1.467 sec.
29925*2^40042-1 is not prime.  LLR Res64: 270A948A7F8F31F4  Time : 1.475 sec.
20145*2^40043-1 is not prime.  LLR Res64: 34ABE730CA6F9D3C  Time : 1.468 sec.
21525*2^40043-1 is not prime.  LLR Res64: 724726BBC4FE82CA  Time : 1.466 sec.
25905*2^40043-1 is not prime.  LLR Res64: A63B433704B5515A  Time : 1.465 sec.
19635*2^40044-1 is not prime.  LLR Res64: E3AC458C26E0E0A7  Time : 1.468 sec.
25905*2^40044-1 is not prime.  LLR Res64: D2E788B1E739CAB7  Time : 1.466 sec.
26829*2^40044-1 is not prime.  LLR Res64: 8EAE5D59A52DA33A  Time : 1.467 sec.
28635*2^40044-1 is not prime.  LLR Res64: 319CCA2A4BADB0D7  Time : 1.468 sec.
28665*2^40044-1 is not prime.  LLR Res64: 8AB154DA4298696C  Time : 1.471 sec.
17295*2^40045-1 is not prime.  LLR Res64: B6AA6BDA67B0A1CD  Time : 1.479 sec.
18525*2^40045-1 is not prime.  LLR Res64: 19909A3B87A20A69  Time : 1.492 sec.
28215*2^40045-1 is not prime.  LLR Res64: F6314025E229036B  Time : 1.476 sec.
16887*2^40046-1 is not prime.  LLR Res64: 7E34C7A7E866BD1F  Time : 1.460 sec.
17295*2^40046-1 is not prime.  LLR Res64: 677FFE215181BB41  Time : 1.465 sec.
22701*2^40046-1 is not prime.  LLR Res64: 96DF23DEC28809BF  Time : 1.466 sec.
23295*2^40046-1 is not prime.  LLR Res64: C79E1CE024ABCB6E  Time : 1.469 sec.
21285*2^40047-1 is not prime.  LLR Res64: 7C4725BFF57A9ACC  Time : 1.466 sec.
23805*2^40047-1 is not prime.  LLR Res64: A34B693C4B91100A  Time : 1.473 sec.
29685*2^40047-1 is not prime.  LLR Res64: 7BB830EC309D74D2  Time : 1.467 sec.
16887*2^40048-1 is not prime.  LLR Res64: 2B0828DE6EAC2C1D  Time : 1.467 sec.
21825*2^40048-1 is not prime.  LLR Res64: D92F756523356D08  Time : 1.469 sec.
29685*2^40048-1 is not prime.  LLR Res64: 941B2F253C03A7AF  Time : 1.464 sec.
21885*2^40049-1 is not prime.  LLR Res64: DF7BCBF25A8D5C7E  Time : 1.473 sec.
25905*2^40049-1 is not prime.  LLR Res64: AE93B6399239932A  Time : 1.484 sec.
28215*2^40049-1 is not prime.  LLR Res64: 424F49498BA7B9FC  Time : 1.468 sec.
29025*2^40049-1 is not prime.  LLR Res64: 0BE6FB46EDDAF0CE  Time : 1.489 sec.
29445*2^40049-1 is not prime.  LLR Res64: 6EB9E72BDF74DD2C  Time : 1.472 sec.
20625*2^40050-1 is not prime.  LLR Res64: 24A901FABA010E80  Time : 1.472 sec.
21885*2^40050-1 is not prime.  LLR Res64: C4FA24181582277A  Time : 1.473 sec.
29685*2^40050-1 is not prime.  LLR Res64: A16177E30EE2A28E  Time : 1.467 sec.
22095*2^40051-1 is not prime.  LLR Res64: 2A3324CD5D3354C7  Time : 1.466 sec.
29925*2^40051-1 is not prime.  LLR Res64: 1D44C8BA7F6A4A43  Time : 1.466 sec.
19635*2^40052-1 is not prime.  LLR Res64: CD6A771122A798FF  Time : 1.465 sec.
20625*2^40052-1 is not prime.  LLR Res64: E4C1C71915BA5F10  Time : 1.460 sec.
22365*2^40052-1 is not prime.  LLR Res64: 3569F92F3924B4BD  Time : 1.462 sec.
26829*2^40052-1 is not prime.  LLR Res64: 1859650A6EC578E5  Time : 1.463 sec.
29925*2^40052-1 is not prime.  LLR Res64: 08B2F39861C8E58A  Time : 1.465 sec.
19635*2^40053-1 is not prime.  LLR Res64: EB332D627C0D4BAA  Time : 1.454 sec.
21285*2^40053-1 is not prime.  LLR Res64: 59E36674FCD90B2D  Time : 1.466 sec.
21525*2^40053-1 is not prime.  LLR Res64: EE812300C9BD369D  Time : 1.467 sec.
21825*2^40053-1 is not prime.  LLR Res64: A74F1EF39F4A921C  Time : 1.469 sec.
22701*2^40053-1 is not prime.  LLR Res64: 6516EA4E9DFAB83C  Time : 1.472 sec.
23295*2^40053-1 is not prime.  LLR Res64: 20E0801E17D6742A  Time : 1.458 sec.
28605*2^40053-1 is not prime.  LLR Res64: 185CB7586597EDA1  Time : 1.458 sec.
19635*2^40054-1 is not prime.  LLR Res64: 9130678B26B10B93  Time : 1.475 sec.
23805*2^40054-1 is not prime.  LLR Res64: 52954FD69A708E8C  Time : 1.473 sec.
16485*2^40055-1 is not prime.  LLR Res64: 614CFF63A440FC42  Time : 1.487 sec.
20625*2^40055-1 is not prime.  LLR Res64: 2D5F6D1814D68974  Time : 1.482 sec.
22365*2^40055-1 is not prime.  LLR Res64: CC846F4FF683E61B  Time : 1.492 sec.
23985*2^40055-1 is not prime.  LLR Res64: 1C15FCD7ADB71BEF  Time : 1.473 sec.
28605*2^40055-1 is not prime.  LLR Res64: AC35551EEF2E3674  Time : 1.474 sec.
29685*2^40055-1 is not prime.  LLR Res64: 66BEF534A66E91DA  Time : 1.482 sec.
16665*2^40056-1 is not prime.  LLR Res64: BDA8C9C3C5AAF330  Time : 1.476 sec.
18525*2^40056-1 is not prime.  LLR Res64: C913D79E15518EF0  Time : 1.468 sec.
18975*2^40056-1 is not prime.  LLR Res64: 92246BF36B871E90  Time : 1.466 sec.
20145*2^40056-1 is not prime.  LLR Res64: 21DEA5AB8902F96D  Time : 1.506 sec.
21885*2^40056-1 is not prime.  LLR Res64: 3C6C19E7A3E8B54C  Time : 1.459 sec.
20145*2^40057-1 is not prime.  LLR Res64: CF1476A7422EE3A6  Time : 1.457 sec.
21285*2^40057-1 is not prime.  LLR Res64: 6476EA13EE390720  Time : 1.468 sec.
21825*2^40057-1 is not prime.  LLR Res64: 71DD883C36B8A4B0  Time : 1.468 sec.
21885*2^40057-1 is not prime.  LLR Res64: 2FC8F9AF80D05272  Time : 1.489 sec.
28635*2^40057-1 is not prime.  LLR Res64: F3301AA93218DD3A  Time : 1.479 sec.
29925*2^40057-1 is not prime.  LLR Res64: DAAC0A195F4A7550  Time : 1.470 sec.
23985*2^40058-1 is not prime.  LLR Res64: 55989E761E7524D5  Time : 1.472 sec.
29025*2^40058-1 is not prime.  LLR Res64: FD2924C0C3D99ACB  Time : 1.469 sec.
22785*2^40059-1 is not prime.  LLR Res64: 7DC5D52F8FC31CCC  Time : 1.461 sec.
28665*2^40059-1 is not prime.  LLR Res64: 0EF6D486B5C1062E  Time : 1.457 sec.
29445*2^40059-1 is not prime.  LLR Res64: 7D61771D68790E77  Time : 1.456 sec.
18975*2^40060-1 is not prime.  LLR Res64: A2EACB16F290C7FB  Time : 1.466 sec.
20625*2^40060-1 is not prime.  LLR Res64: 2337E12DE920D689  Time : 1.465 sec.
